"time","crop","value"
"1983","Barley",63
"1984","Barley",19
"1985","Barley",65
"1986","Barley",76
"1987","Barley",43
"1988","Barley",67
"1989","Barley",51
"1990","Barley",26
"1991","Barley",43
"1992","Barley",49
"1993","Barley",46
"1994","Barley",72
"1995","Barley",57
"1996","Barley",62
"1997","Barley",78
"1998","Barley",83
"1999","Barley",81
"2000","Barley",50
"2001","Barley",55
"2002","Barley",37
"2003","Barley",62
"2004","Barley",27
"2005","Barley",44
"2006","Barley",54
"2007","Barley",58
"2008","Barley",31
"2009","Barley",48
"2010","Barley",80
"2011","Barley",55
"2012","Barley",39
"2013","Barley",56
"2014","Barley",67
"2015","Barley",60
"2016","Barley",67
"2017","Barley",59
"2018","Barley",87
"1983","Maize",59
"1984","Maize",25
"1985","Maize",64
"1986","Maize",75
"1987","Maize",42
"1988","Maize",77
"1990","Maize",23
"1991","Maize",36
"1992","Maize",42
"1993","Maize",43
"1994","Maize",62
"1995","Maize",71
"1996","Maize",55
"1997","Maize",70
"1998","Maize",67
"1999","Maize",58
"2000","Maize",39
"2002","Maize",29
"2003","Maize",46
"2004","Maize",21
"2005","Maize",39
"2006","Maize",55
"2007","Maize",64
"2008","Maize",29
"2010","Maize",79
"2011","Maize",52
"2012","Maize",30
"2013","Maize",48
"2014","Maize",75
"2015","Maize",48
"2016","Maize",66
"2017","Maize",50
"2018","Maize",54
"1983","Sorghum",62
"1984","Sorghum",25
"1985","Sorghum",66
"1986","Sorghum",78
"1987","Sorghum",43
"1988","Sorghum",77
"1990","Sorghum",24
"1991","Sorghum",38
"1992","Sorghum",44
"1993","Sorghum",44
"1994","Sorghum",64
"1995","Sorghum",73
"1996","Sorghum",57
"1997","Sorghum",73
"1998","Sorghum",69
"1999","Sorghum",58
"2000","Sorghum",40
"2002","Sorghum",30
"2003","Sorghum",47
"2004","Sorghum",22
"2005","Sorghum",41
"2006","Sorghum",57
"2007","Sorghum",66
"2008","Sorghum",30
"2010","Sorghum",80
"2011","Sorghum",54
"2012","Sorghum",31
"2013","Sorghum",50
"2014","Sorghum",78
"2015","Sorghum",50
"2016","Sorghum",69
"2017","Sorghum",51
"2018","Sorghum",55
"1983","Teff",47
"1984","Teff",20
"1985","Teff",66
"1986","Teff",65
"1987","Teff",25
"1988","Teff",68
"1989","Teff",51
"1990","Teff",26
"1991","Teff",44
"1992","Teff",49
"1993","Teff",42
"1994","Teff",64
"1995","Teff",57
"1996","Teff",62
"1997","Teff",61
"1998","Teff",76
"1999","Teff",82
"2000","Teff",44
"2001","Teff",55
"2002","Teff",38
"2003","Teff",49
"2004","Teff",27
"2005","Teff",45
"2006","Teff",48
"2007","Teff",59
"2008","Teff",31
"2009","Teff",48
"2010","Teff",80
"2011","Teff",46
"2012","Teff",36
"2013","Teff",57
"2014","Teff",68
"2015","Teff",52
"2016","Teff",67
"2017","Teff",60
"2018","Teff",88
"1983","Wheat",63
"1984","Wheat",20
"1985","Wheat",66
"1986","Wheat",76
"1987","Wheat",43
"1988","Wheat",67
"1989","Wheat",51
"1990","Wheat",26
"1991","Wheat",44
"1992","Wheat",49
"1993","Wheat",46
"1994","Wheat",72
"1995","Wheat",57
"1996","Wheat",62
"1997","Wheat",78
"1998","Wheat",84
"1999","Wheat",81
"2000","Wheat",50
"2001","Wheat",55
"2002","Wheat",38
"2003","Wheat",63
"2004","Wheat",27
"2005","Wheat",45
"2006","Wheat",54
"2007","Wheat",59
"2008","Wheat",31
"2009","Wheat",48
"2010","Wheat",80
"2011","Wheat",56
"2012","Wheat",40
"2013","Wheat",56
"2014","Wheat",67
"2015","Wheat",60
"2016","Wheat",67
"2017","Wheat",60
"2018","Wheat",87
