"Year","Sow Dekad","Rainfall for Phase  1","Rainfall for Phase  2","Rainfall for Phase  3","Payout for Phase  1","Payout for Phase  2","Payout for Phase  3","Total Payout"
1983,16,29.7,28.34,74.85,0,0,0,0
1984,16,6.63,7.53,45.43,67.48,0,65.06,132.55
1985,16,5.47,26.97,75,90.64,0,0,90.64
1986,16,25.53,50,75,0,0,0,0
1987,16,57.59,31.76,58.73,0,0,15.81,15.81
1988,16,15.06,25,75,0,0,0,0
1989,16,28.28,44.7,57.87,0,0,18.98,18.98
1990,16,8.16,8.16,45.87,36.7,0,63.46,100.16
1991,16,38.96,31.49,75,0,0,0,0
1992,16,20.69,25.31,54.62,0,0,31.03,31.03
1993,16,34.09,33.22,74.39,0,0,0,0
1994,16,32.45,47.64,75,0,0,0,0
1995,16,25,50,75,0,0,0,0
1996,16,54.38,40.19,70.04,0,0,0,0
1997,16,49.59,47.95,51.62,0,0,42.15,42.15
1998,16,28.78,50,75,0,0,0,0
1999,16,23.59,48.59,75,0,0,0,0
2000,16,27.39,42.56,67.56,0,0,0,0
2001,16,6.46,23.44,66.98,70.77,0,0,70.77
2002,16,5.32,13.07,55.38,93.61,0,28.22,121.83
2003,16,16.45,41.45,75,0,0,0,0
2004,16,25,42.27,67.27,0,0,0,0
2005,16,8.85,33.85,75,22.96,0,0,22.96
2006,16,25.68,39.13,62.86,0,0,0.51,0.51
2007,16,13.45,25,75,0,0,0,0
2008,16,13.64,25,75,0,0,0,0
2009,16,9.31,31.62,72.31,13.77,0,0,13.77
2010,16,55.94,38.14,64.53,0,0,0,0
2011,16,29.03,50,75,0,0,0,0
2012,16,15.78,35.98,75,0,0,0,0
2013,16,3.2,11.84,58.64,100,0,16.14,116.14
2014,16,1.57,25,67.84,100,0,0,100
2015,16,24.77,27.26,73.39,0,0,0,0
2016,16,45.75,50,75,0,0,0,0
2017,16,32.78,49.49,75,0,0,0,0
2018,16,41.78,49.33,75,0,0,0,0
2019,16,59.89,50,75,0,0,0,0
