Time,HainET30Y Evapotranspiration
Jul 1983,25.43737
Jul 1984,15.62792
Jul 1985,27.65591
Jul 1986,28.82916
Jul 1987,25.52944
Jul 1988,24.92891
Jul 1989,28.92181
Jul 1990,7.584555
Jul 1991,18.34316
Jul 1992,22.66097
Jul 1993,38.53637
Jul 1994,13.53262
Jul 1995,27.11889
Jul 1996,25.73685
Jul 1997,28.61155
Jul 1998,30.60963
Jul 1999,22.85787
Jul 2000,39.28802
Jul 2001,31.93174
Jul 2002,31.2468
Jul 2003,20.55868
Jul 2004,38.49735
Jul 2005,21.41743
Jul 2006,23.33564
Jul 2007,25.37476
Jul 2008,23.36621
Jul 2009,18.64074
Jul 2010,31.68462
Jul 2011,17.60138
Jul 2012,27.56918
Jul 2013,14.65423
