Time,NDVI
Jul 1981,0.2312903
Jul 1982,0.1370081
Jul 1983,0.1539355
Jul 1984,0.2207016
Jul 1985,0.202371
Jul 1986,0.3295645
Jul 1987,0.2241774
Jul 1988,0.1723629
Jul 1989,0.1732016
Jul 1990,0.2241532
Jul 1991,0.131371
Jul 1992,0.1817258
Jul 1993,0.2283871
Jul 1994,0.2582581
Jul 1995,0.1150887
Jul 1996,0.2998791
Jul 1997,0.3051452
Jul 1998,0.2080645
Jul 1999,0.2033065
Jul 2000,0.2635565
Jul 2001,0.3384032
Jul 2002,0.2212178
Jul 2003,0.2240242
Jul 2004,0.226629
Jul 2005,0.2555323
Jul 2006,0.254621
