"","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"Jan",16.33582,16.90175,17.0162,18.04418,18.88995,17.03824,18.8758,20.34471,18.10866,18.39784,19.52874,20.39093,19.76101,20.28929,20.43283,18.49525,20.56474,19.8977,19.28271,20.04528,18.55379,19.27854,18.23766,18.62154,17.73613,18.80248,18.41441,18.57872,16.30613,16.99081,18.13288
"Feb",16.35795,13.33584,15.34699,17.1201,18.0858,16.67899,21.16839,17.39898,18.03448,17.06368,16.7398,19.81208,16.86782,22.64267,19.59982,18.63765,18.68924,21.38563,20.18853,20.80542,17.94967,17.10456,18.81695,18.0934,20.05473,19.1879,18.86436,19.56818,18.04938,18.5037,18.49761
"Mar",21.77461,21.6471,19.16407,21.829,20.72545,21.83507,21.95327,20.46058,23.18788,22.35056,25.94709,27.78236,23.69873,26.45473,20.32802,22.09416,25.92694,28.21449,25.91719,27.17302,22.74158,24.26955,24.8004,25.4607,25.85394,25.34772,25.06882,24.29786,23.06251,24.2754,25.14855
"Apr",22.32617,23.11511,18.91427,23.60334,22.52453,20.71387,22.43546,19.85818,22.4816,25.02633,23.86946,26.24742,28.16606,27.3831,19.00665,24.82901,26.00023,24.30391,26.4597,26.57195,26.35629,25.46819,27.22733,24.38537,26.52059,25.10182,26.55544,23.67659,26.30875,26.54916,26.96756
"May",17.98702,19.48969,21.96247,23.11065,27.50879,24.76536,25.40532,23.46728,25.77323,27.09951,25.56409,23.77036,23.88463,30.73952,24.89209,24.05633,27.25845,27.836,31.4266,29.98684,27.17567,31.11303,27.84337,30.88201,27.81134,27.38436,28.29149,30.26998,26.25813,30.30455,27.53232
"Jun",24.39274,27.5728,30.39917,28.61976,36.37996,31.28603,30.19025,28.21797,30.28783,31.29339,35.14113,32.92834,30.55688,35.96716,34.3108,29.54847,30.82727,37.46804,37.23819,37.72107,32.62878,33.27236,31.70498,38.58245,36.1167,35.27118,27.57215,36.08621,44.24747,38.65051,32.8521
"Jul",39.67773,42.41076,41.31889,39.19352,47.94187,28.86621,41.35842,36.15775,32.17011,46.28885,48.47293,34.81306,36.68214,46.06842,49.88221,37.42306,43.17192,48.07046,46.96976,42.2984,40.90033,41.73862,40.90611,42.67856,41.84924,39.10933,36.53809,41.07437,48.51224,48.56158,47.14262
"Aug",39.41459,47.03965,45.48352,53.12807,49.46367,40.01112,38.96298,49.80197,41.5985,32.85141,47.5931,36.60882,49.68954,45.66919,54.17292,35.80028,50.2349,46.58418,46.04243,46.23094,41.64943,44.47388,44.28087,47.71146,48.8415,42.06353,49.8005,44.32787,44.87933,52.16712,42.05708
"Sep",48.79916,42.20609,44.30791,46.76659,47.90802,45.67268,38.99387,41.9326,43.21982,48.10441,46.37866,48.34855,51.46084,50.28335,44.89865,49.24178,51.42252,48.14111,46.19093,41.20028,47.435,45.07552,45.42895,46.71503,49.04998,43.128,50.6255,54.19772,52.17599,56.54437,54.81347
"Oct",35.3756,39.57298,38.43132,42.77545,37.0306,39.98594,42.07785,40.83969,36.53279,37.03045,38.35056,43.3624,40.89112,41.54685,38.76378,41.61853,44.8539,41.16816,40.26542,42.75724,43.4835,41.05312,42.78906,44.03612,43.06646,39.61721,40.50148,42.70855,43.42773,42.66047,42.60795
"Nov",26.63903,25.64963,27.39348,29.24825,28.9208,30.14292,29.67078,26.44987,27.18282,29.80026,30.17928,30.50512,28.1874,30.38276,32.87178,31.32821,31.35419,31.88864,31.11486,29.09496,30.08925,29.28663,30.2065,31.79669,30.063,28.62724,28.05055,29.52382,26.4059,26.82038,29.51261
"Dec",22.76674,19.8553,22.72424,22.31067,21.98432,20.92881,23.09365,19.7769,21.46091,23.01004,23.75359,23.21899,22.9094,23.59214,24.21052,23.84962,26.15934,23.90438,23.91352,24.06417,22.17893,22.74248,22.36991,24.37004,22.48462,20.4472,21.32016,21.24665,21.1218,21.13055,21.43382
