"","MIXEDET"
"1983",-4.09860932503148
"1984",46.8501357054241
"1985",29.2534892630586
"1986",45.1377994793107
"1987",21.5610895038063
"1988",39.0705617903898
"1989",58.0338186269922
"1990",47.0223487607761
"1991",23.9413895753416
"1992",34.014182243356
"1993",28.6824474822121
"1994",76.7646574667893
"1995",37.7299922382156
"1996",37.4663809332711
"1997",30.4635760932397
"1998",66.1105180857754
"1999",77.2713166309854
"2000",32.4
"2001",19.8
"2002",5.8
"2003",53.8
"2004",33.5
"2005",39.6
"2006",69.2
"2007",67.9
"2008",65.2
"2009",33.4
"2010",63.6
"2011",61.6
"2012",58.6
"2013",61.2
"2014",66.7
